Part,Color,Quantity,Is Spare
3005,0,12,False
2465,0,12,False
3010,0,8,False
3008,0,12,False
2357,0,4,False
55819,0,1,False
2458,0,24,False
65803,0,9,False
2445,0,4,False
4282,0,8,False
2420,0,4,False
3020,0,1,False
11212,0,4,False
67139,0,2,False
2780,0,40,False
2780,0,1,True
63864,0,8,False
4162,0,20,False
87079pr0016,0,1,False
98138,0,13,True
98138,0,629,False
98138,29,8,True
98138,29,587,False
98138,72,10,True
98138,72,131,False
98138,5,3,True
98138,5,587,False
98138,26,1,True
98138,26,46,False
98138,322,21,True
98138,322,587,False
2420,4,4,False
3022,15,9,False
98138,14,2,True
98138,14,587,False
