Part,Color,Quantity,Is Spare
3005,0,12,False
2465,0,12,False
3010,0,8,False
3008,0,12,False
2357,0,4,False
55819,0,1,False
2458,0,24,False
65803,0,9,False
2445,0,4,False
4282,0,8,False
2420,0,4,False
3020,0,1,False
11212,0,4,False
6141,0,20,True
6141,0,877,False
67139,0,2,False
2780,0,1,True
2780,0,44,False
63864,0,8,False
4162,0,20,False
87079pr0223,0,1,False
6141,226,92,False
6141,226,2,True
6141,272,3,True
6141,272,447,False
6141,72,11,True
6141,72,151,False
6141,308,12,True
6141,308,200,False
6141,320,6,True
6141,320,328,False
6141,71,2,True
6141,71,110,False
6141,25,125,False
6141,25,2,True
6141,1103,271,False
2420,4,6,False
6141,4,286,False
6141,4,6,True
6141,379,6,True
6141,379,139,False
3022,15,9,False
6141,15,187,False
6141,15,8,True
