Part,Color,Quantity,Is Spare
3005,0,12,False
2465,0,8,False
3010,0,8,False
3008,0,20,False
2357,0,4,False
55819,0,1,False
2458,0,24,False
65803,0,9,False
2445,0,1,False
4282,0,8,False
2420,0,4,False
3020,0,1,False
3795,0,8,False
11212,0,4,False
6141,0,12,True
6141,0,593,False
67139,0,2,False
2780,0,50,False
2780,0,2,True
63864,0,8,False
4162,0,20,False
87079pr9980,0,1,False
6141,1,17,True
6141,1,431,False
3795,72,8,False
6141,320,10,True
6141,320,503,False
6141,179,15,True
6141,179,630,False
6141,2,499,False
6141,2,13,True
6141,71,236,False
6141,71,8,True
6141,27,2,True
6141,27,4,False
6141,322,2,True
6141,322,10,False
6141,297,14,True
6141,297,604,False
92585,297,1,False
6141,1103,153,False
6141,1103,11,True
6141,4,2,True
6141,4,15,False
6141,15,369,False
6141,15,13,True
