Part,Color,Quantity,Is Spare
55819,0,1,False
65803,0,40,False
4282,0,1,False
67139,0,2,False
2780,0,206,False
4162pr9988,0,1,False
4162pr9989,0,1,False
98138,10,601,False
98138,191,599,False
98138,1050,601,False
98138,272,393,False
3795,72,32,False
98138,3,1879,False
98138,27,1060,False
98138,322,1607,False
98138,25,601,False
92585,297,1,False
98138,19,725,False
3005,15,12,False
2465,15,22,False
3010,15,22,False
3008,15,34,False
2357,15,4,False
2458,15,52,False
59900,15,40,False
4282,15,22,False
2420,15,4,False
3795,15,8,False
11212,15,4,False
6141,15,3064,False
63864,15,8,False
4162,15,48,False
