Part,Color,Quantity,Is Spare
3005,0,12,False
2465,0,8,False
3010,0,8,False
3008,0,20,False
2357,0,4,False
55819,0,1,False
44865,0,24,False
65803,0,9,False
4282,0,9,False
2420,0,4,False
3020,0,1,False
3795,0,8,False
11212,0,4,False
6141,0,566,False
67139,0,2,False
61332,0,46,False
63864,0,8,False
4162,0,20,False
4162pr9988,0,1,False
4162pr9989,0,1,False
87079pr0290,0,1,False
6141,1,293,False
6141,10,210,False
6141,272,423,False
3795,72,8,False
6141,72,216,False
6141,484,55,False
6141,323,194,False
6141,71,277,False
6141,322,139,False
78169,322,1,False
6141,30,95,False
6141,92,153,False
6141,1103,432,False
6141,4,112,False
6141,70,165,False
6141,19,380,False
6141,15,257,False
