Part,Color,Quantity,Is Spare
55819,0,1,False
65803,0,6,False
3034,0,1,False
67139,0,2,False
61332,0,32,False
4162pr9988,0,1,False
6141,1,242,False
98138,191,370,False
98138,29,158,False
6141,272,281,False
3795,72,3,False
98138,5,370,False
78169,3,1,False
98138,3,370,False
98138,78,370,False
3005,15,12,False
2465,15,6,False
3010,15,6,False
3008,15,18,False
2357,15,4,False
44865,15,20,False
4282,15,6,False
2420,15,4,False
3795,15,8,False
11212,15,4,False
63864,15,8,False
4162,15,16,False
98138,15,550,False
